State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
--------------------------------------------------------------------------
AA | 34034 (APO) | 34034 (APO) | 34034 (APO) | 34034 (APO)
AK | 99546 (Adak) | 99923 (Hyder) | 99723 (Barrow) | 99546 (Adak)
AL | 36584 (Vinegar Bend) | 36856 (Fort Mitchell) | 35739 (Ardmore) | 36547 (Gulf Shores)
AP | 96373 (FPO) | 96507 (FPO) | 96507 (FPO) | 96373 (FPO)
AR | 72747 (Maysville) | 72310 (Armorel) | 72733 (Gateway) | 71749 (Junction City)
AZ | 85349 (San Luis) | 86508 (Lupton) | 86021 (Colorado City) | 85620 (Naco)
CA | 95536 (Ferndale) | 92267 (Parker Dam) | 95567 (Smith River) | 92173 (San Ysidro)
CO | 81411 (Bedrock) | 81047 (Holly) | 81653 (Slater) | 81138 (Jaroso)
CT | 6831 (Greenwich) | 6243 (East Killingly) | 6079 (Taconic) | 6836 (Greenwich)
DC | 20016 (Washington) | 20019 (Washington) | 20012 (Washington) | 20375 (Washington)
DE | 19716 (Newark) | 19944 (Fenwick Island) | 19810 (Wilmington) | 19975 (Selbyville)
FL | 32568 (Mc David) | 33480 (Palm Beach) | 32452 (Noma) | 33041 (Key West)
FM | 96941 (Pohnpei) | 96941 (Pohnpei) | 96941 (Pohnpei) | 96941 (Pohnpei)
GA | 30752 (Trenton) | 31328 (Tybee Island) | 30751 (Tennga) | 31562 (Saint George)
HI | 96769 (Makaweli) | 96898 (Wake Island) | 96722 (Princeville) | 96772 (Naalehu)
IA | 51001 (Akron) | 52734 (Clinton) | 52160 (New Albin) | 52632 (Keokuk)
ID | 83844 (Moscow) | 83238 (Geneva) | 83826 (Eastport) | 83237 (Franklin)
IL | 62379 (Warsaw) | 60438 (Lansing) | 60075 (Russell) | 62914 (Cairo)
IN | 47631 (New Harmony) | 47003 (West College Corner) | 46530 (Granger) | 47635 (Rockport)
KS | 67836 (Coolidge) | 66118 (Kansas City) | 66955 (Mahaska) | 66778 (Treece)
KY | 42050 (Hickman) | 41568 (Stopover) | 41074 (Dayton) | 42049 (Hazel)
LA | 71007 (Bethany) | 70081 (Pilottown) | 71075 (Springhill) | 70081 (Pilottown)
MA | 1258 (South Egremont) | 2643 (East Orleans) | 1913 (Amesbury) | 2564 (Siasconset)
MD | 21531 (Friendsville) | 21843 (Ocean City) | 21088 (Lineboro) | 21866 (Tylerton)
ME | 4261 (Newry) | 4631 (Eastport) | 4741 (Estcourt Station) | 3904 (Kittery)
MH | 96970 (Ebeye) | 96960 (Marshall Islands) | 96970 (Ebeye) | 96960 (Marshall Islands)
MI | 49938 (Ironwood) | 48061 (Port Huron) | 49918 (Copper Harbor) | 49232 (Camden)
MN | 56740 (Noyes) | 55605 (Grand Portage) | 56711 (Angle Inlet) | 55931 (Eitzen)
MO | 64496 (Watson) | 63881 (Wolf Island) | 63535 (Coatsville) | 63829 (Cardwell)
MP | 96951 (Rota) | 96950 (Saipan) | 96951 (Rota) | 96952 (Tinian)
MS | 39165 (Sibley) | 38847 (Golden) | 38671 (Southaven) | 39558 (Lakeshore)
MT | 59844 (Heron) | 59319 (Capitol) | 59484 (Sweet Grass) | 59739 (Lima)
NC | 28903 (Culberson) | 27982 (Waves) | 28631 (Grassy Creek) | 28468 (Sunset Beach)
ND | 58621 (Beach) | 58074 (Wahpeton) | 58255 (Maida) | 58043 (Havana)
NE | 69352 (Lyman) | 68431 (Rulo) | 69365 (Whiteclay) | 68325 (Byron)
